Nome do Paiciente,Nome da Mãe,Data de Nascimento,CPF,CNS,CEP,Endereço,Número,Complemento,Bairro,Cidade,Estado
Olga Esteves Jimenes,Mirella Rios Bezerra,15/12/1979,718.656.588-39,844724937505455,92575-375,Largo Verdara,2,0º Andar,Caldeira Benez,Verdara do Sul,SE
Danilo Rezende Valdez,Constância Matias Grego,02/05/1979,889.647.125-79,876191203825579,29701-166,Av. Regiane Delgado,7516,Apto 951,Alcantara Caldeira,Porto Júlio do Norte,RO
Samanta Assunção Gonçalves,Emily Bezerra Tamoio,06/12/2012,521.438.910-83,735666569912552,31112-088,R. Robson,2973,263º Andar,Ramires Ferreira,Porto Luana d'Oeste,RO
Fabrício Verdugo Cortês,Ivana Casanova de Arruda,13/05/1992,321.980.681-33,749991359183816,20317-387,R. Matheus,891,Bc. 3 Ap. 44,da Cruz Estrada,São Jean,MT
Thiago de Arruda Queirós,Sara Faria Serna,31/10/1979,717.373.245-04,893176564321252,38658-032,Avenida Alice,437,Apto 0315,Guerra Lourenço,Camilo do Leste,PA
Moisés Amaral Reis,Daniella Franco Souza,15/08/2007,298.278.593-58,938261755449170,32077-340,Av. Benites,22,Bloco A,Batista Soto,São Marta,BA
Franco Azevedo Benites,Eduarda Ortega de Oliveira,09/03/1984,158.879.867-43,948693491100719,66263-815,Largo Maldonado,331,75º Andar,Urias Fernandes,Porto Isadora do Norte,PR
Laís Madeira Rivera,Norma Flores Sepúlveda,23/09/1980,013.253.765-66,777733617345251,62239-383,Rua Rico,9695,031º Andar,Reis Caldeira,São Estêvão,PR
William Pacheco Zamana,Mary Amaral Ferreira,03/11/1977,588.302.403-38,766471219691597,56368-427,Travessa Danilo,3806,488º Andar,Valdez Vasques,Duarte d'Oeste,PE
Fábio Brito Feliciano,Antonieta Jimenes Santana,15/06/1988,430.229.327-66,877227644823260,28833-408,Largo Oliveira,5,Apto 1651,D'ávila Flores,Porto Jasmin,AC
Stephanie Franco Deverso,Irene Salazar Burgos,11/09/2018,227.284.615-70,921502984938106,97759-795,Rua Guerra,72,F,Teles Rangel,Porto Carlos,AL
Isabel Molina Abreu,Cristiana Urias Serrano,15/09/2000,625.357.265-21,709568339572850,51574-304,Av. Larissa,1,Bc. 17 Ap. 03,Carmona Barreto,Michelle do Norte,AC
Maria Gonçalves Aranda,Bruna Barros Mendonça,25/12/2014,609.293.597-04,901956214794361,30774-049,Avenida Cristiano,859,Apto 17,Campos Furtado,Marques do Leste,PB
Mauro Batista Fidalgo,Beatriz Fernandes Vale,13/11/2001,661.215.869-74,755800125437867,31884-739,R. Igor,9,Apto 03,Romero Rocha,Santa Pedro do Leste,RJ
Jean Abreu Correia,Alice Tamoio Maldonado,28/12/2019,352.300.751-80,718193448566213,67221-663,Avenida Feliciano,9416,Bloco B,Maldonado Valência,Matias do Leste,MG
Antônio Campos Lozano,Luciana Cordeiro Ferminiano,26/09/1998,069.175.231-19,966166026040713,17159-850,Rua Estela,333,Bc. 6 Ap. 71,da Silva Duarte,Quintana d'Oeste,AL
Natan Fidalgo Rivera,Juliana Mendes Meireles,03/09/1994,301.328.811-60,946443637594007,94386-955,Av. Prado,83765,Bloco B,Ferminiano Aguiar,Pontes do Sul,MG
Luis da Cruz Guerra,Ornela Aranda Rangel,13/02/1971,824.456.856-99,968428774827475,26516-926,Avenida Abreu,3,Anexo,Lourenço Rangel,Vila Vitória d'Oeste,RN
Fernando Salgado Pacheco,Melissa Vila Barros,14/03/2000,559.632.241-52,982795107509156,39217-897,Largo Bárbara Esteves,315,Apto 345,Assunção Marin,Vila Gabi do Norte,PB
Fabiana Aranda Salgado,Marina Gomes Saraiva,17/01/1981,961.527.731-21,876995536433086,11407-138,Avenida Juan Pereira,89,Bc. 46 Ap. 07,Fidalgo Gonçalves,São Juan,AL
Gabrielle da Rosa Rivera,Thalita Uchoa Rangel,07/12/2019,749.806.706-44,987728122567327,10672-477,R. Gabrielle,8753,06º Andar,Santos Camacho,Mila d'Oeste,GO
Aparecida Madeira Torres,Anita Velasques Fernandes,22/11/1996,387.510.723-35,793460329147189,81459-606,Largo Salgado,1862,Bc. 26 Ap. 32,Vieira Salas,São Enzo do Sul,DF
Thomas Faro Estrada,Daniele Teles da Rosa,13/11/1982,566.508.861-73,740259596921357,18103-110,R. Bárbara Galindo,5,Apto 8,Rosa Vale,Porto José d'Oeste,AM
Dirce Uchoa Valência,Yohanna de Aguiar Faro,30/10/1975,015.027.133-65,979609806769801,40882-621,Rua Adriano,57301,Bc. 03 Ap. 32,Alves Carrara,Delatorre do Sul,RN
Deivid Pereira Zaragoça,Amanda Queirós Vale,03/01/2000,924.090.869-26,710566751234179,45704-881,Rua Carvalho,3561,4º Andar,Vieira Fidalgo,Yuri do Sul,RO
Suellen Lutero Queirós,Maiara Soares Ferreira,09/10/1986,052.225.078-58,701523325660086,40417-000,Av. Alícia Serra,117,82º Andar,Godói Meireles,Sandoval d'Oeste,RS
Heitor Perez Pedrosa,Tatiane das Neves Prado,03/06/1984,136.693.478-44,755838362410323,74402-125,R. Késia Bonilha,912,Bc. 6 Ap. 00,Azevedo Quintana,Arruda do Leste,PB
Lucas Quintana Galvão,Patrícia Paz Oliveira,02/05/1973,028.817.223-00,926687729653023,33906-487,Largo Mendes,598,293º Andar,Pena Ortega,Porto Jefferson do Leste,PA
Agostinho Caldeira Vega,Louise Casanova Santos,23/05/1979,013.439.458-52,966946438594638,24904-619,Largo Alcantara,1,00º Andar,Dias de Oliveira,São Gean,SP
Nelson Aguiar Camacho,Bárbara Faria Madeira,09/01/1995,230.881.085-81,833584769661285,04981-151,Travessa Leo Maia,66,Bc. 9 Ap. 91,da Cruz Serna,Porto Cléber,PB
Giovane Alves das Neves,Rosana Ávila Leal,02/04/1997,026.668.111-58,905435684142685,23567-832,Avenida Quintana,876,Bc. 57 Ap. 92,Ferraz Paz,Santa Marcelo do Norte,PE
Samanta Rivera de Aguiar,Noemi Santiago Madeira,05/09/1972,313.681.073-20,775676669290609,08872-072,Largo das Dores,1,Apto 0334,Pontes Padrão,Rosa d'Oeste,BA
Gilberto Duarte Arruda,Katherine Mendes Montenegro,05/02/1998,042.063.161-55,959547789265906,51477-624,Av. Murilo,13,4º Andar,Zambrano Ferminiano,Vila Maurício do Sul,AP
Michael Marés Furtado,Giovanna de Aguiar Molina,13/11/2014,069.311.591-27,782259728014454,83013-438,Av. Aurora Santana,9,507º Andar,Correia Esteves,Saito do Sul,RS
Leonardo Urias Gomes,Gabi Marques Uchoa,15/08/2009,753.004.389-79,978464731986176,32048-413,Avenida Sergio,9,Apto 1,Teles Balestero,Kauan do Leste,AP
Tiago Marques Bezerra,Bianca Delatorre Fidalgo,25/11/1970,168.945.806-26,812260380711349,93939-457,Travessa Aline,9,Bc. 01 Ap. 86,Corona Duarte,Vila Silvana,CE
Francisco Fidalgo Mascarenhas,Roberta Santos Mendonça,10/12/1986,728.956.218-61,904913933031313,95929-534,R. Laiane,7977,Fundos,Domingues Ferraz,Vila Sandro do Leste,CE
Laís D'ávila Toledo,Vitória Vila Aragão,22/11/1997,948.158.095-42,837944860595310,93903-622,Largo Ariana de Aguiar,35413,99º Andar,Serna Leon,Santa Lara d'Oeste,GO
Fabiano Carvalho Ramires,Melina Ortiz Alves,16/05/2004,616.098.061-07,711949508135877,08982-109,Rua Fontes,195,Fundos,Esteves Bittencourt,Santa Juliano do Sul,PB
Mônica Toledo Torres,Mary das Dores de Aguiar,15/02/1973,484.662.652-01,715646631721323,43681-399,Rua Santacruz,92,388º Andar,Bezerra Queirós,Santa Stella,MT
Mari Madeira Lozano,Malu Verdugo Roque,13/12/2011,569.493.893-37,813688740820669,90345-915,Av. Vale,24867,Bc. 52 Ap. 84,Cortês Souza,Santa Antônio,SP
Cíntia Rivera Correia,Alexa Pereira Garcia,10/11/1973,445.255.020-70,798088543012770,97720-956,Largo Camila Guerra,18110,Apto 8112,Verdugo Ferreira,Felipe do Norte,PI
Sandra da Silva Fidalgo,Luna Gonçalves Campos,27/03/2020,461.486.622-05,737308049298672,20747-853,Av. Assunção,3,Fundos,da Rosa Ortega,Escobar do Leste,GO
Tatiana Lutero Arruda,Isabelly Madeira Jimenes,08/09/2009,361.612.097-72,930325868962377,75163-081,Avenida Caio,8,422º Andar,Delgado Montenegro,Elaine do Sul,RS
Estela Carrara Delvalle,Alícia Santacruz Camacho,03/11/1985,319.845.970-27,874686376315703,53086-204,Largo Roque,9752,3º Andar,Valdez Dominato,Santa Paulo do Leste,MT
Rosana Marques da Rosa,Ellen Romero Aranda,11/03/2006,576.016.345-07,966936569971680,46054-848,R. Beltrão,7,Bc. 9 Ap. 20,Zamana Bittencourt,Serna do Norte,PA
Juliano Molina Soares,Laura Medina Batista,03/03/1972,246.240.214-44,877723060928021,94774-382,R. Ícaro Bonilha,86858,Bc. 09 Ap. 83,Mendonça Zambrano,Vila Sara do Sul,AP
Agostinho de Arruda Santacruz,Stella Alves Rios,12/09/1979,968.976.475-60,782371182389461,73964-040,Largo Romero,8,55º Andar,Serrano Bittencourt,Alexandre do Leste,MT
Felipe Ferminiano Cordeiro,Clara Valente Esteves,23/08/2012,365.212.555-09,826873155115766,22487-243,Largo Urias,72441,Anexo,Romero Mendonça,Mary d'Oeste,GO
Regiane Paz Brito,Lara Chaves Martines,15/08/2009,359.355.652-93,718467133893863,13066-266,Rua Horácio Lira,9476,Apto 833,Galhardo Lourenço,Dias do Norte,AP
Esther Gusmão Garcia,Maria Estrada Godói,28/03/1996,850.153.327-00,800099972369936,05042-394,Travessa Micaela,3,Apto 373,Soares Oliveira,Porto Reinaldo do Sul,MT
Danielle Colaço Santos,Ester Aragão Grego,24/10/1991,943.646.791-51,969369998626511,78075-816,Rua Téo Madeira,823,Apto 204,Azevedo Vega,Ingrid d'Oeste,RS
Flávia Marin Duarte,Denise Serra Verdara,10/07/2004,801.588.073-40,791842540895698,33498-648,Largo Fabiana Rios,7885,Bloco B,Ferreira das Dores,Porto Elaine do Norte,PE
Emílio Matos Soto,Antonieta Flores Chaves,21/12/1993,286.313.681-05,985939555655896,15488-718,Travessa Faria,5,Bloco B,Bittencourt Ávila,Samara d'Oeste,PE
Melinda das Neves Cervantes,Giovana Escobar Toledo,06/10/1975,103.194.078-29,888448599925297,85759-797,R. de Arruda,917,Fundos,Saito Queirós,São Fernanda do Norte,PE
Teobaldo Fontes Rios,Paloma Queirós Chaves,11/04/1993,674.738.679-54,915590833426592,12832-390,R. Raquel,18134,Fundos,Santacruz Vale,Esteves do Sul,AC
Paulina de Aguiar Souza,Renata Vieira Galhardo,08/10/2011,952.747.486-86,871253457925206,52189-259,Rua Daniel Matos,3,Bloco B,Rivera Vega,São Paula d'Oeste,SP
Leo Zambrano Soares,Melissa Jimenes Santacruz,19/09/2013,745.548.387-22,923843232734374,42549-695,Av. Guilherme Queirós,58595,Bloco C,Aguiar Assunção,Santa Gian,CE
Ariane Ortiz Batista,Graziela de Arruda Chaves,08/01/2020,443.627.078-59,962030578925866,72006-427,Travessa Sônia Chaves,73622,618º Andar,Mascarenhas Alcantara,Porto Igor,RR
Elizabeth Matos Fontes,Laura Pereira Romero,01/05/2022,714.388.063-96,839444676812674,17410-132,Travessa Manuel Burgos,6745,09º Andar,Rezende Santacruz,São Arthur,RS
Eunice Valência Sepúlveda,Valéria Roque Gonçalves,26/05/1994,727.342.374-23,859183226863533,99034-519,Rua Emily,589,Apto 2092,Barros Ferminiano,Tatiane d'Oeste,RJ
Lara D'ávila Duarte,Suzana Camacho da Cruz,09/12/1996,445.588.248-07,814210873165453,81906-053,Avenida Uchoa,19915,6º Andar,Cordeiro Salazar,Nicolas do Leste,PB
Léia Marés Santana,Natália Rico Padrão,11/04/2004,917.043.545-60,724682954267883,52912-733,Travessa Lucio,8532,Apto 03,Mendes Rezende,Porto Allison,RN
Vitória Sepúlveda Leon,Taís Corona Cordeiro,04/12/1989,708.880.167-19,720380616356982,83382-970,Av. Flores,8,Bc. 5 Ap. 53,Galindo Fontes,Santa Marta,RO
Antonieta Paes Prado,Fátima de Freitas de Souza,17/12/1999,272.275.052-00,883968251196073,15849-239,Avenida Natal Aguiar,96,Apto 73,Dias Ferreira,Helena do Leste,MT
Amanda Feliciano Lozano,Sônia Branco Vale,25/12/2021,374.064.711-65,968148593189399,42396-861,Travessa Dominato,7931,110º Andar,Torres Colaço,Souza d'Oeste,RJ
Simão Furtado Domingues,Andressa Lutero Pereira,02/04/1982,204.299.743-96,761017053866471,91748-898,Largo Andres,5691,Apto 477,Mendonça Franco,Catarina do Leste,RO
Edson Marques Queirós,Yasmin Urias Balestero,23/02/1976,142.222.721-91,896903837507073,86615-605,R. Lilian,17,Fundos,Uchoa Benites,Montenegro d'Oeste,AC
Márcia Gil Gonçalves,Paula Solano Medina,18/04/2003,065.571.442-19,888869670597851,46549-256,Rua William,39,Fundos,Saito Garcia,Mauro do Leste,CE
